name,slug,url,feed,neighborhood,district,category
Jackson Commons,jackson-commons,http://www.jacksoncommons.com,http://jacksoncommons.com/feed/,Central District,Central,events
Lake City Live,lake-city-live,http://lakecitylive.net,http://lakecitylive.net/feed/,Lake City,Northeast,events
West Seattle Herald,west-seattle-herald,http://www.westseattleherald.com/,http://www.westseattleherald.com/feed,West Seattle,Southwest,Delridge
White Center Community Development Association,white-center-community-development-association,http://www.wccda.org/home,http://www.wccda.org/home/feed,White Center,Delridge,nonprofit
Your Capitol Hill,your-capitol-hill,http://www.yourcapitolhill.com/,http://www.yourcapitolhill.com/rss,Capitol Hill,East,dining
Parks of Seattle,parks-of-seattle,http://parksofseattle.tumblr.com/,http://parksofseattle.tumblr.com/rss,,,
Fuck Yeah Seattle,fuck-yeah-seattle,http://fuckyeahseattle.tumblr.com/,http://fuckyeahseattle.tumblr.com/rss,,,
Stranger's SLOG,slog,http://slog.thestranger.com/blogs/slog/,http://slog.thestranger.com/seattle/Rss.xml?id=slog,,,
Seattle Transit Blog,seattle-transit-blog,http://seattletransitblog.com/,http://feeds.feedburner.com/seattletransitblog/rss?format=xml,,,transit
montlaker.com,montlaker,http://montlaker.com,http://montlaker.com/feed/,Montlake,,
exploreseattle.tumblr.com,explore-seattle,http://exploreseattle.tumblr.com,http://exploreseattle.tumblr.com/rss,,,
whenyouliveinseattle.tumblr.com,when-you-live-in-seattle,http://whenyouliveinseattle.tumblr.com,http://whenyouliveinseattle.tumblr.com/rss,,,
seattleoddity.tumblr.com,seattle-oddity,http://seattleoddity.tumblr.com,http://seattleoddity.tumblr.com/rss,,,
Seattle By Sarah,seattle-by-sarah,http://seattlebysarah.com/,http://seattlebysarah.com/feed/,,,
Seattle Globalist,seattle-globalist,http://www.seattleglobalist.com/,http://www.seattleglobalist.com/feed,,,
Seattlish,seattlish,http://seattlish.com/,http://seattlish.com/rss,,,
The Seattle Coffee Project,seattle-coffee-project,http://theseattlecoffeeproject.wordpress.com/,http://theseattlecoffeeproject.wordpress.com/feed/,,,
seattle.io,seattle-io,http://seattle.io,http://seattle.io/rss.xml,,,
Vanguard Seattle,vanguard-seattle,http://vanguardseattle.com/,http://vanguardseattle.com/feed/,,,
Eating Up The Ave,eating-up-the-ave,http://eatinguptheave.wordpress.com/,http://eatinguptheave.wordpress.com/feed/,University District,,
Build the City,build-the-city,http://buildthecity.wordpress.com/,http://buildthecity.wordpress.com/feed/,,,
The Seattle Medium,the-seattle-medium,http://seattlemedium.com/,http://seattlemedium.com/feed/,,,
"Madrona, Seattle",madrona-seattle,http://madrona.us/,http://madrona.us/feed/,Madrona,,
News of Madison Valley,news-madison-valley,http://madisonvalley.org,http://madisonvalley.org/feed.xml,Madison Valley,,
Africatown,africatown,http://www.africatownseattle.org/,http://www.africatownseattle.org/feed/,Central District,,
220 & Blog,220-and-blog,http://220andchange.org/blog/,http://220andchange.org/feed/,Pioneer Square,,
Crosscut,crosscut,http://crosscut.com,http://crosscut.com/feed/main.xml/,,,news
International Examiner,international-examiner,http://www.iexaminer.org/,http://www.iexaminer.org/feed/,,,
Northwest Asian Weekly,northwest-asian-weekly,http://www.nwasianweekly.com/,http://www.nwasianweekly.com/feed/,,,
